embeddingSize	hiddenSize	trainingAcc	devAcc	testAcc	trainingUAS	trainingLAS	devUAS	devLAS	testUAS	testLAS
75.0	300.0	0.7962339536088195	0.6134416449831821	0.6179726368159204	0.6789671126672502	0.607340252594723	0.5331051449352872	0.43812172424858276	0.5427974947807933	0.4480167014613779
100.0	32.0	0.9091265583959158	0.6059529098178588	0.6042910447761194	0.7490433912717269	0.6979117168938352	0.5389881270724142	0.4343780083431383	0.5379958246346556	0.43277661795407096
100.0	64.0	0.767533572564833	0.5926254997778765	0.5944029850746269	0.6950731524321621	0.615605852194573	0.5288266124719221	0.4182265482939352	0.5335073068893528	0.4251565762004175
100.0	128.0	0.7440642225592838	0.5810750777432252	0.5855099502487562	0.6166312367137676	0.5389521070401401	0.49245908653331905	0.40036367525938604	0.49832985386221296	0.4090814196242171
100.0	256.0	0.7957974177795863	0.6055086628165259	0.6134328358208955	0.6547830436413655	0.5860447667875454	0.5190929511177667	0.42410953043106214	0.5222338204592902	0.4331941544885177
100.0	300.0	0.7834560319633014	0.5926254997778765	0.6008084577114428	0.6639489808678254	0.5971989496061023	0.5201625842336078	0.42817413627125894	0.531732776617954	0.44258872651356995
25.0	32.0	0.8054677962339536	0.6196611030018404	0.6169154228855721	0.6724021508065524	0.6036388645742153	0.527863942667665	0.4364103112632367	0.5291231732776618	0.44248434237995826
25.0	64.0	0.7874588435499982	0.615980199276512	0.6190298507462687	0.6699137176441166	0.5997374015255721	0.5311798053267729	0.44261418333511604	0.5402922755741127	0.45396659707724424
25.0	128.0	0.7991417261662536	0.6233420067271689	0.6259950248756219	0.6740027510316369	0.6047267725397024	0.5333190715584555	0.4452882661247192	0.5397703549060543	0.45365344467640917
25.0	256.0	0.8102400947060782	0.6158532715618455	0.6197139303482587	0.6844941853194948	0.6185444541703139	0.534602631297465	0.439191357364424	0.5475991649269311	0.45876826722338204
25.0	300.0	0.814494469313011	0.6216284825791711	0.6213308457711443	0.6830061272977367	0.6190321370513943	0.5347095946090491	0.44100973366135415	0.5439457202505219	0.45365344467640917
50.0	32.0	0.8132810476859902	0.6095703496858539	0.6118781094527364	0.6836063523821433	0.6128298111791922	0.5340678147395443	0.4351267515242272	0.5477035490605427	0.45
50.0	64.0	0.8107728163959897	0.6296249286031605	0.6297885572139303	0.6804051519319745	0.6123921470551457	0.5396299069419189	0.44667878917531284	0.5436325678496868	0.45365344467640917
50.0	128.0	0.7874588435499982	0.6129339341245161	0.610634328358209	0.661923221207953	0.5944479179692385	0.5260455663707349	0.4351267515242272	0.5355949895615867	0.44874739039665973
50.0	256.0	0.8136435943916245	0.6215650187218379	0.6227611940298508	0.678404401650619	0.6132799799924972	0.5419830997967697	0.44133062359610653	0.5454070981210856	0.4522964509394572
