loss,trainingAccuracy,validationAccuracy
1.5881675,0.9778718344351174,0.9619541926574925
1.545904,0.975706014750223,0.9579702553846642
1.5756522,0.9777925626035134,0.9616367474564703
1.56374,0.9770677915717056,0.960113010491564
1.540155,0.9780841696983423,0.961144707394886
1.6662835,0.9775066177823705,0.9614938971160103
1.6562642,0.9771697124980536,0.961589130676317
1.6157401,0.9774018657191795,0.961017729314477
1.5553181,0.9781832594878473,0.9616367474564703
1.4159822,0.9773905411718076,0.9604780724727394
1.404616,0.9774330082244526,0.9606050505531483
1.5084171,0.9764874085188907,0.9597796930304906
1.579914,0.9769687017822006,0.9617319810167769
1.5630031,0.9768129892558357,0.9615256416361125
1.5209105,0.9775122800560565,0.9606367950732505
1.5094798,0.9761052050450858,0.9577480437439487
1.52828,0.9777416021403394,0.9616526197165214
1.4882882,0.9775292668771145,0.9604463279526372
1.4986937,0.9773707232139065,0.9606526673333016
1.6552279,0.9766176408136688,0.9594463755694174
1.6032904,0.9771640502243676,0.9611605796549371
1.5229111,0.9776708237192645,0.960573306033046
1.4842454,0.9778067182877285,0.9619065758773392
1.3710355,0.9771045963506646,0.9584940399663509
1.3215138,0.9772574777401866,0.9595098646096217
1.420371,0.9766063162662967,0.9593670142691618
1.4522387,0.9769432215506136,0.9606050505531483
1.5395352,0.9766176408136688,0.961017729314477
1.5206556,0.9767507042452896,0.9585416567465042
1.4362308,0.9767450419716037,0.9606050505531483
1.5128347,0.9777699135087694,0.9613034299953971
1.426105,0.9773225938875756,0.961017729314477
1.4761142,0.9771470634033096,0.960557433772995
1.6901549,0.9748764916552242,0.9562877958192467
1.5215409,0.9772659711507156,0.9611288351348348
1.4427809,0.9777869003298274,0.9608431344539149
1.4031713,0.9778746655719605,0.9608113899338127
1.3637305,0.9774415016349816,0.9592400361887529
1.2195109,0.9780983253825574,0.960859006713966
1.3358027,0.9768724431295387,0.9593511420091106
1.4081966,0.9765864983083957,0.9595892259098773
1.4931729,0.9769234035927127,0.9606050505531483
1.4779079,0.9753096555922031,0.9574464708029776
1.3806252,0.9777925626035134,0.962017681697697
1.4568192,0.9773395807086336,0.9602876053521261
1.3973881,0.9780785074246564,0.9616843642366236
1.4720095,0.9774245148139236,0.9605256892528927
1.5056924,0.9768554563084807,0.9587162516070663
1.4247128,0.9778661721614315,0.9606367950732505
1.3499683,0.9781209744773014,0.9612716854752948
1.3137764,0.9775320980139575,0.9605098169928417
1.3318036,0.9771527256769956,0.9599384156310017
1.1713563,0.9782087397194343,0.9616526197165214
1.2745397,0.9770423113401187,0.9596527149500818
1.3496813,0.9767110683294877,0.9598590543307461
1.3976741,0.9770564670243336,0.9602399885719728
1.3801467,0.975884376371332,0.9569385584813421
1.313437,0.9778803278456464,0.9617795977969303
1.3948913,0.9770309867927466,0.9599542878910529
1.385331,0.9776311878034625,0.9621922765582591
1.4459441,0.9772801268349306,0.9601764995317683
1.4402328,0.9772603088770295,0.959557481389775
1.3486882,0.9777246153192815,0.9607320286335571
1.2775937,0.9777812380561415,0.9610494738345793
1.2600977,0.9777444332771824,0.9604304556925861
